date,neighborhood,city,cases
2020-03-18,Baldwin Park,NA,NA
2020-03-19,Baldwin Park,NA,NA
2020-03-20,Baldwin Park,NA,NA
2020-03-21,Baldwin Park,NA,NA
2020-03-22,Baldwin Park,NA,NA
2020-03-23,Baldwin Park,NA,NA
2020-03-24,Baldwin Park,NA,NA
2020-03-25,Baldwin Park,NA,NA
2020-03-26,Baldwin Park,NA,NA
2020-03-27,Baldwin Park,City of Baldwin Park,0
2020-03-10,Bel-Air,NA,NA
2020-03-11,Bel-Air,NA,NA
2020-03-12,Bel-Air,NA,NA
2020-03-13,Bel-Air,NA,NA
2020-03-14,Bel-Air,NA,NA
2020-03-15,Bel-Air,NA,NA
2020-03-16,Bel-Air,NA,NA
2020-03-17,Bel-Air,NA,NA
2020-03-18,Bel-Air,NA,NA
2020-03-19,Bel-Air,NA,NA
2020-03-20,Bel-Air,NA,NA
2020-03-21,Bel-Air,NA,NA
2020-03-22,Bel-Air,NA,NA
2020-03-23,Bel-Air,NA,NA
2020-03-24,Bel-Air,NA,NA
2020-03-25,Bel-Air,NA,NA
2020-03-26,Bel-Air,NA,NA
2020-03-27,Bel-Air,NA,NA
2020-03-10,Bell,NA,NA
2020-03-11,Bell,NA,NA
2020-03-12,Bell,NA,NA
2020-03-13,Bell,NA,NA
2020-03-14,Bell,NA,NA
2020-03-15,Bell,NA,NA
2020-03-16,Bell,NA,NA
2020-03-17,Bell,NA,NA
2020-03-18,Bell,NA,NA
2020-03-19,Bell,NA,NA
2020-03-20,Bell,NA,NA
2020-03-21,Bell,NA,NA
2020-03-22,Bell,NA,NA
2020-03-23,Bell,NA,NA
2020-03-24,Bell,NA,NA
2020-03-25,Bell,NA,NA
2020-03-26,Bell,Bell,2
2020-03-27,Bell,City of Bell,4
2020-03-10,Bell Gardens,NA,NA
2020-03-11,Bell Gardens,NA,NA
2020-03-12,Bell Gardens,NA,NA
2020-03-13,Bell Gardens,NA,NA
2020-03-14,Bell Gardens,NA,NA
2020-03-15,Bell Gardens,NA,NA
2020-03-16,Bell Gardens,NA,NA
